店舗名,店舗番号,表示設定,直営１/FC2,エリア,座席数,席情報URL
自遊空間 池袋西口ROSA店,1233,2,1,関東,119,scweb233:2001
自遊空間 NEXT蒲田西口店,1234,2,1,関東,108,scweb234:2001
自遊空間 伊勢佐木長者町店,1237,2,1,関東,118,scweb237:2001
自遊空間 藤沢駅前南口店,1238,2,1,関東,87,scweb238:2001
自遊空間 恵比寿店,1239,2,1,関東,53,scweb239:2001
自遊空間 新橋店,1240,2,1,関東,64,scweb240:2001
自遊空間 横浜西口2号店,1241,2,1,関東,76,scweb241:2001
自遊空間 荻窪店,1243,2,2,関東,74,scweb243:2001
自遊空間 原宿店,1244,2,1,関東,50,scweb244:2001
自遊空間 室蘭中島サンプラザ店,1322,2,2,北海道・東北,90,scweb322:2001
自遊空間 米子マンガミュージアム,1325,2,2,中国・四国,231,scweb325:2001
自遊空間 G-FIELD平塚駅前店,1327,2,2,関東,132,scweb327:2001
自遊空間 NEXT宇都宮ｵﾘｵﾝ通り店,1331,2,2,関東,116,scweb331:2001
自遊空間 南浦和駅東口店,1332,2,2,関東,91,scweb332:2001
自遊空間 NEXT赤坂見附2号店,1336,2,2,関東,85,scweb336:2001
自遊空間 押上駅前店,1337,2,2,関東,39,scweb337:2001
自遊空間 飯塚店,1342,2,2,九州・沖縄,60,scweb342:2001
自遊空間 薩摩川内店,1343,2,2,九州・沖縄,237,scweb343:2001
自遊空間 大分下郡店,1344,2,2,九州・沖縄,139,scweb344:2001
自遊空間 津田沼北口店,1347,2,2,関東,88,scweb347:2001
自遊空間 福岡福重店,1349,2,2,九州・沖縄,94,scweb349:2001
自遊空間 新横浜駅前店,1351,2,1,関東,96,scweb351:2001
自遊空間 西川口駅前店,1353,2,1,関東,169,scweb353:2001
自遊空間 横浜西口店,1354,2,1,関東,77,scweb354:2001
自遊空間 巣鴨駅前店,1355,2,1,関東,64,scweb355:2001
自遊空間 神田北口店,1356,2,2,関東,87,scweb356:2001
自遊空間 浅草雷門店,1357,2,2,関東,70,scweb357:2001
自遊空間 河原町店,1360,2,1,近畿,79,scweb360:2001
自遊空間 五反田東口店,1362,2,1,関東,115,scweb362:2001
自遊空間 古賀店,1371,2,2,九州・沖縄,149,scweb371:2001
自遊空間 目黒駅前店,1376,2,2,関東,307,scweb376:2001
自遊空間 BR我孫子店,1379,2,2,関東,118,scweb379:2001
自遊空間 新潟佐渡店,1382,2,2,関東,110,scweb382:2001
自遊空間 中津池永店,1383,2,2,九州・沖縄,281,scweb383:2001
自遊空間 久留米櫛原店,1388,2,2,九州・沖縄,91,scweb388:2001
自遊空間 新潟黒埼店,1395,2,2,関東,124,scweb395:2001
自遊空間 葛西駅前店,1510,2,2,関東,,scweb510:2001
自遊空間 燕三条店,1522,2,2,関東,223,scweb522:2001
自遊空間 別府若草店,1524,2,2,九州・沖縄,128,scweb524:2001
自遊空間 草加駅前店,1525,2,2,関東,241,scweb525:2001
自遊空間 日暮里２号店,1527,2,2,関東,53,scweb527:2001
自遊空間 大分光吉店,1534,2,2,九州・沖縄,136,scweb534:2001
自遊空間 長崎時津店,1545,2,2,九州・沖縄,196,scweb545:2001
自遊空間 朝霞台南口店,1546,2,1,関東,56,scweb546:2001
自遊空間 BIGBOX高田馬場店,1547,2,1,関東,288,scweb547:2001
自遊空間 成増店,1549,2,1,関東,77,scweb549:2001
自遊空間 井土ヶ谷店,1608,2,1,関東,103,scweb608:2001
自遊空間 宇都宮簗瀬店,1623,2,2,関東,88,scweb623:2001
自遊空間 太宰府店,1625,2,2,九州・沖縄,112,scweb625:2001
自遊空間 鹿児島国分店,1640,2,2,九州・沖縄,105,scweb640:2001
自遊空間 久留米バイパス店,1645,2,2,九州・沖縄,115,scweb645:2001
自遊空間 苫小牧店,1647,2,1,北海道・東北,151,scweb647:2001
自遊空間 丸亀川西店,1650,2,2,中国・四国,84,scweb650:2001
自遊空間 茅ヶ崎エメロード店,1652,2,2,関東,219,scweb652:2001
自遊空間 国分寺駅南口店,1656,2,2,関東,93,scweb656:2001
自遊空間 恵庭住吉店,1657,2,1,北海道・東北,68,scweb657:2001
自遊空間 岩国駅前店,1660,2,2,中国・四国,74,scweb660:2001
自遊空間 秩父中央店,1663,2,2,関東,158,scweb663:2001
自遊空間 八戸沼館店,1665,2,2,北海道・東北,151,scweb665:2001
自遊空間 湖浜店,1667,2,2,中部,233,scweb667:2001
自遊空間 多治見店,1670,2,2,中部,156,scweb670:2001
自遊空間 松本インター店,1671,2,1,中部,158,scweb671:2001
自遊空間 武蔵中原店,1676,2,2,関東,122,scweb676:2001
自遊空間 倉敷下庄店,1681,2,2,中国・四国,89,scweb681:2001
自遊空間 大牟田店,1690,2,2,九州・沖縄,185,scweb690:2001
自遊空間 多摩センター店,1695,2,1,関東,77,scweb695:2001
自遊空間 明石駅前店,1696,2,1,近畿,140,scweb696:2001
自遊空間 佐久店,1727,2,2,中部,76,scweb727:2001
自遊空間 手稲前田店,1779,2,1,北海道・東北,112,scweb779:2001
自遊空間 鹿児島中央店,1785,2,2,九州・沖縄,101,scweb785:2001
自遊空間 鹿屋店,1788,2,2,九州・沖縄,233,scweb788:2001
自遊空間 大府店,1789,2,2,中部,75,scweb789:2001
自遊空間 亀戸店,1792,2,1,関東,180,scweb792:2001
自遊空間 熊本十禅寺店,1793,2,1,九州・沖縄,157,scweb793:2001
自遊空間 川越店,1830,2,1,関東,40,scweb830:2001
自遊空間 札幌北光店,1835,2,1,北海道・東北,87,scweb835:2001
自遊空間 高円寺店,1855,2,1,関東,79,scweb855:2001
自遊空間 大塚店,1856,2,2,関東,58,scweb856:2001
自遊空間 君津店,1865,2,2,関東,124,scweb865:2001
自遊空間 和光店,1888,2,1,関東,40,scweb888:2001
自遊空間 立川南口店,1898,2,2,関東,70,scweb898:2001
